Pressure (mtorr),Input Voltage (V),Drop Voltage (V),Capacitor Distance (cm),pd (mTorr-cm)
324,367,17.3,5,1620
357,358,19,5,1785
399,349,18,5,1995
456,345,20,5,2280
521,336,19,5,2605
563,337,22,5,2815
608,333,22,5,3040
661,334,23.3,5,3305
715,332,24.2,5,3575
500,343,20.6,7,3500
551,342,22,7,3857
598,339,22,7,4186
650,340,25,7,4550
703,338,25,7,4921
752,339,27.5,7,5264
814,335,27.3,7,5698
309,373,17.1,10,3090
407,360,23,10,4070
501,355,25.5,10,5010
605,332,21,10,6050
611,355,31,10,6110
718,337,36,10,7180
815,334,32,10,8150
